"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.1 0 0.738933333333333 0.0474666666666667
0.25 0.25 0.1 0.01 0.724633333333333 0.0331666666666667
0.25 0.25 0.1 0.02 0.7156 0.0241333333333333
0.25 0.25 0.1 0.03 0.7076 0.0161333333333333
0.25 0.25 0.1 0.04 0.701833333333333 0.0103666666666667
0.25 0.25 0.1 0.05 0.697466666666667 0.006
0.25 0.25 0.1 0.06 0.6948 0.00333333333333333
0.25 0.25 0.1 0.07 0.6933 0.00183333333333333
0.25 0.25 0.1 0.08 0.692466666666667 0.001
0.25 0.25 0.1 0.09 0.691933333333333 0.000466666666666667
0.25 0.25 0.1 0.1 0.691533333333333 6.66666666666667e-05
0.25 0.25 0.1 0.11 0.691466666666667 0
0.25 0.25 0.1 0.12 0.691466666666667 0
0.25 0.25 0.1 0.13 0.691466666666667 0
0.25 0.25 0.1 0.14 0.691466666666667 0
0.25 0.25 0.1 0.15 0.691466666666667 0
0.25 0.25 0.1 0.16 0.691466666666667 0
0.25 0.25 0.1 0.17 0.691466666666667 0
0.25 0.25 0.1 0.18 0.691466666666667 0
0.25 0.25 0.1 0.19 0.691466666666667 0
0.25 0.25 0.1 0.2 0.691466666666667 0
0.25 0.25 0.1 0.21 0.691466666666667 0
0.25 0.25 0.1 0.22 0.691466666666667 0
0.25 0.25 0.1 0.23 0.691466666666667 0
0.25 0.25 0.1 0.24 0.691466666666667 0
0.25 0.25 0.1 0.25 0.691466666666667 0
0.25 0.25 0.1 0.26 0.691466666666667 0
0.25 0.25 0.1 0.27 0.691466666666667 0
0.25 0.25 0.1 0.28 0.691466666666667 0
0.25 0.25 0.1 0.29 0.691466666666667 0
0.25 0.25 0.1 0.3 0.691466666666667 0
0.25 0.25 0.1 0.31 0.691466666666667 0
0.25 0.25 0.1 0.32 0.691466666666667 0
0.25 0.25 0.1 0.33 0.691466666666667 0
0.25 0.25 0.1 0.34 0.691466666666667 0
0.25 0.25 0.1 0.35 0.691466666666667 0
0.25 0.25 0.1 0.36 0.691466666666667 0
0.25 0.25 0.1 0.37 0.691466666666667 0
0.25 0.25 0.1 0.38 0.691466666666667 0
0.25 0.25 0.1 0.39 0.691466666666667 0
0.25 0.25 0.1 0.4 0.691466666666667 0
0.25 0.25 0.1 0.41 0.691466666666667 0
0.25 0.25 0.1 0.42 0.691466666666667 0
0.25 0.25 0.1 0.43 0.691466666666667 0
0.25 0.25 0.1 0.44 0.691466666666667 0
0.25 0.25 0.1 0.45 0.691466666666667 0
0.25 0.25 0.1 0.46 0.691466666666667 0
0.25 0.25 0.1 0.47 0.691466666666667 0
0.25 0.25 0.1 0.48 0.691466666666667 0
0.25 0.25 0.1 0.49 0.691466666666667 0
0.25 0.25 0.1 0.5 0.691466666666667 0
