"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.6 0 0.51735 0.22042
0.5 0.5 0.6 0.01 0.50503 0.21035
0.5 0.5 0.6 0.02 0.49668 0.20174
0.5 0.5 0.6 0.03 0.48832 0.19405
0.5 0.5 0.6 0.04 0.48587 0.19128
0.5 0.5 0.6 0.05 0.47876 0.18447
0.5 0.5 0.6 0.06 0.47458 0.1799
0.5 0.5 0.6 0.07 0.46769 0.17377
0.5 0.5 0.6 0.08 0.4683 0.17124
0.5 0.5 0.6 0.09 0.46135 0.16798
0.5 0.5 0.6 0.1 0.4608 0.16477
0.5 0.5 0.6 0.11 0.45626 0.16112
0.5 0.5 0.6 0.12 0.45349 0.15961
0.5 0.5 0.6 0.13 0.45101 0.15622
0.5 0.5 0.6 0.14 0.44833 0.15494
0.5 0.5 0.6 0.15 0.44876 0.15387
0.5 0.5 0.6 0.16 0.44525 0.1501
0.5 0.5 0.6 0.17 0.44688 0.15015
0.5 0.5 0.6 0.18 0.44257 0.14756
0.5 0.5 0.6 0.19 0.43841 0.14588
0.5 0.5 0.6 0.2 0.4422 0.14626
0.5 0.5 0.6 0.21 0.43673 0.14298
0.5 0.5 0.6 0.22 0.43712 0.14007
0.5 0.5 0.6 0.23 0.43256 0.1379
0.5 0.5 0.6 0.24 0.43417 0.13923
0.5 0.5 0.6 0.25 0.43055 0.13613
0.5 0.5 0.6 0.26 0.42996 0.13481
0.5 0.5 0.6 0.27 0.42777 0.13368
0.5 0.5 0.6 0.28 0.42331 0.13015
0.5 0.5 0.6 0.29 0.42656 0.13039
0.5 0.5 0.6 0.3 0.42508 0.12881
0.5 0.5 0.6 0.31 0.4237 0.1267
0.5 0.5 0.6 0.32 0.42034 0.1248
0.5 0.5 0.6 0.33 0.42146 0.12493
0.5 0.5 0.6 0.34 0.41955 0.12365
0.5 0.5 0.6 0.35 0.41896 0.12159
0.5 0.5 0.6 0.36 0.41815 0.11864
0.5 0.5 0.6 0.37 0.41471 0.11878
0.5 0.5 0.6 0.38 0.41281 0.11719
0.5 0.5 0.6 0.39 0.41448 0.11809
0.5 0.5 0.6 0.4 0.41168 0.11481
0.5 0.5 0.6 0.41 0.40939 0.11417
0.5 0.5 0.6 0.42 0.40897 0.11445
0.5 0.5 0.6 0.43 0.40923 0.11122
0.5 0.5 0.6 0.44 0.40821 0.11248
0.5 0.5 0.6 0.45 0.40728 0.10826
0.5 0.5 0.6 0.46 0.40591 0.109
0.5 0.5 0.6 0.47 0.40389 0.10654
0.5 0.5 0.6 0.48 0.40317 0.10558
0.5 0.5 0.6 0.49 0.40449 0.10554
0.5 0.5 0.6 0.5 0.40104 0.10426
