"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0 0 0.75761 0.03201
0.25 0.25 0 0.01 0.74593 0.0201
0.25 0.25 0 0.02 0.73668 0.01118
0.25 0.25 0 0.03 0.73074 0.00567
0.25 0.25 0 0.04 0.72639 0.00235
0.25 0.25 0 0.05 0.72725 0.00065
0.25 0.25 0 0.06 0.72548 0
0.25 0.25 0 0.07 0.72437 0
0.25 0.25 0 0.08 0.72792 0
0.25 0.25 0 0.09 0.72588 0
0.25 0.25 0 0.1 0.72701 0
0.25 0.25 0 0.11 0.7268 0
0.25 0.25 0 0.12 0.72446 0
0.25 0.25 0 0.13 0.72474 0
0.25 0.25 0 0.14 0.72491 0
0.25 0.25 0 0.15 0.72626 0
0.25 0.25 0 0.16 0.72581 0
0.25 0.25 0 0.17 0.72621 0
0.25 0.25 0 0.18 0.72933 0
0.25 0.25 0 0.19 0.72781 0
0.25 0.25 0 0.2 0.72654 0
0.25 0.25 0 0.21 0.72744 0
0.25 0.25 0 0.22 0.72558 0
0.25 0.25 0 0.23 0.7249 0
0.25 0.25 0 0.24 0.72459 0
0.25 0.25 0 0.25 0.72667 0
0.25 0.25 0 0.26 0.72747 0
0.25 0.25 0 0.27 0.7244 0
0.25 0.25 0 0.28 0.72592 0
0.25 0.25 0 0.29 0.72527 0
0.25 0.25 0 0.3 0.72978 0
0.25 0.25 0 0.31 0.72833 0
0.25 0.25 0 0.32 0.72688 0
0.25 0.25 0 0.33 0.72764 0
0.25 0.25 0 0.34 0.7251 0
0.25 0.25 0 0.35 0.72514 0
0.25 0.25 0 0.36 0.72657 0
0.25 0.25 0 0.37 0.72513 0
0.25 0.25 0 0.38 0.72776 0
0.25 0.25 0 0.39 0.72546 0
0.25 0.25 0 0.4 0.72407 0
0.25 0.25 0 0.41 0.72669 0
0.25 0.25 0 0.42 0.72619 0
0.25 0.25 0 0.43 0.72962 0
0.25 0.25 0 0.44 0.72677 0
0.25 0.25 0 0.45 0.72668 0
0.25 0.25 0 0.46 0.72727 0
0.25 0.25 0 0.47 0.7258 0
0.25 0.25 0 0.48 0.72747 0
0.25 0.25 0 0.49 0.72618 0
0.25 0.25 0 0.5 0.72435 0
