"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0 0 0.49250997003988 0.0969963879855519
0.5 0.5 0 0.01 0.478985915943664 0.0834723338893356
0.5 0.5 0 0.02 0.468285873143493 0.0727722910891644
0.5 0.5 0 0.03 0.459253837015348 0.0637402549610198
0.5 0.5 0 0.04 0.450557802231209 0.0550442201768807
0.5 0.5 0 0.05 0.44309777239109 0.0475841903367613
0.5 0.5 0 0.06 0.436153744614978 0.0406401625606502
0.5 0.5 0 0.07 0.429833719334877 0.0343201372805491
0.5 0.5 0 0.08 0.424317697270789 0.0288041152164609
0.5 0.5 0 0.09 0.418937675750703 0.0234240936963748
0.5 0.5 0 0.1 0.413905655622622 0.0183920735682943
0.5 0.5 0 0.11 0.409757639030556 0.0142440569762279
0.5 0.5 0 0.12 0.406333625334501 0.0108200432801731
0.5 0.5 0 0.13 0.403937615750463 0.00842403369613478
0.5 0.5 0 0.14 0.402025608102432 0.00651202604810419
0.5 0.5 0 0.15 0.400109600438402 0.00459601838407354
0.5 0.5 0 0.16 0.397853591414366 0.00234000936003744
0.5 0.5 0 0.17 0.396449585798343 0.000936003744014976
0.5 0.5 0 0.18 0.396065584262337 0.000552002208008832
0.5 0.5 0 0.19 0.395705582822331 0.000192000768003072
0.5 0.5 0 0.2 0.395513582054328 0
0.5 0.5 0 0.21 0.395513582054328 0
0.5 0.5 0 0.22 0.395513582054328 0
0.5 0.5 0 0.23 0.395513582054328 0
0.5 0.5 0 0.24 0.395513582054328 0
0.5 0.5 0 0.25 0.395513582054328 0
0.5 0.5 0 0.26 0.395513582054328 0
0.5 0.5 0 0.27 0.395513582054328 0
0.5 0.5 0 0.28 0.395513582054328 0
0.5 0.5 0 0.29 0.395513582054328 0
0.5 0.5 0 0.3 0.395513582054328 0
0.5 0.5 0 0.31 0.395513582054328 0
0.5 0.5 0 0.32 0.395513582054328 0
0.5 0.5 0 0.33 0.395513582054328 0
0.5 0.5 0 0.34 0.395513582054328 0
0.5 0.5 0 0.35 0.395513582054328 0
0.5 0.5 0 0.36 0.395513582054328 0
0.5 0.5 0 0.37 0.395513582054328 0
0.5 0.5 0 0.38 0.395513582054328 0
0.5 0.5 0 0.39 0.395513582054328 0
0.5 0.5 0 0.4 0.395513582054328 0
0.5 0.5 0 0.41 0.395513582054328 0
0.5 0.5 0 0.42 0.395513582054328 0
0.5 0.5 0 0.43 0.395513582054328 0
0.5 0.5 0 0.44 0.395513582054328 0
0.5 0.5 0 0.45 0.395513582054328 0
0.5 0.5 0 0.46 0.395513582054328 0
0.5 0.5 0 0.47 0.395513582054328 0
0.5 0.5 0 0.48 0.395513582054328 0
0.5 0.5 0 0.49 0.395513582054328 0
0.5 0.5 0 0.5 0.395513582054328 0
