"hf" "hm" "C" "r" "sf" "sm" "Poly" "eigPoly" "agree"
0.5 0.5 0 0.5 0.412140354281291 0.94392759911716 0 1 0
0.5 0.5 0 0.5 0.416768465656787 0.828130528330803 0 1 0
0.5 0.5 0 0.5 0.06718013365753 0.277229886502028 0 0 1
0.5 0.5 0 0.5 0.675413768971339 0.492728723445907 1 0 0
0.5 0.5 0 0.5 0.991699831327423 0.481171919032931 0 0 1
0.5 0.5 0 0.5 0.223089955514297 0.54310537269339 0 0 1
0.5 0.5 0 0.5 0.522500775754452 0.750103727681562 1 1 1
0.5 0.5 0 0.5 0.329492667224258 0.385036379797384 1 1 1
0.5 0.5 0 0.5 0.155277877813205 0.520569103537127 0 0 1
0.5 0.5 0 0.5 0.145837333751842 0.170431279344484 1 0 0
0.5 0.5 0 0.5 0.456435298547149 0.739364239620045 1 1 1
0.5 0.5 0 0.5 0.342155522434041 0.0298319545108825 0 0 1
0.5 0.5 0 0.5 0.117062967270613 0.0854991781525314 0 0 1
0.5 0.5 0 0.5 0.917410033755004 0.194986998802051 0 0 1
0.5 0.5 0 0.5 0.39516161987558 0.417053463403136 1 1 1
0.5 0.5 0 0.5 0.504766778787598 0.632024253485724 1 1 1
0.5 0.5 0 0.5 0.519775084219873 0.221930348780006 0 0 1
0.5 0.5 0 0.5 0.523007756099105 0.276168440468609 0 0 1
0.5 0.5 0 0.5 0.562615703092888 0.128636916633695 0 0 1
0.5 0.5 0 0.5 0.272362892515957 0.660928881727159 0 0 1
0.5 0.5 0 0.5 0.0572009403258562 0.209770251763985 0 0 1
0.5 0.5 0 0.5 0.929965875344351 0.80730411154218 1 1 1
0.5 0.5 0 0.5 0.492610310437158 0.473665197845548 1 1 1
0.5 0.5 0 0.5 0.659179730340838 0.446608516387641 1 0 0
0.5 0.5 0 0.5 0.235494894208387 0.641005988698453 0 0 1
0.5 0.5 0 0.5 0.310741790570319 0.892709645908326 0 0 1
0.5 0.5 0 0.5 0.126499997451901 0.329983552452177 0 0 1
0.5 0.5 0 0.5 0.0394227504730225 0.390406927326694 0 0 1
0.5 0.5 0 0.5 0.746047922642902 0.565925560891628 1 1 1
0.5 0.5 0 0.5 0.658930197590962 0.140981312841177 0 0 1
0.5 0.5 0 0.5 0.25691076181829 0.00365255889482796 0 0 1
0.5 0.5 0 0.5 0.0476936460472643 0.324116996722296 0 0 1
0.5 0.5 0 0.5 0.407152416883036 0.6417718953453 1 1 1
0.5 0.5 0 0.5 0.929468796821311 0.870032959152013 1 1 1
0.5 0.5 0 0.5 0.980864932993427 0.206197230843827 0 0 1
0.5 0.5 0 0.5 0.986823117826134 0.824579067295417 1 1 1
0.5 0.5 0 0.5 0.506694013485685 0.120038595283404 0 0 1
0.5 0.5 0 0.5 0.421655548270792 0.218492040410638 0 0 1
0.5 0.5 0 0.5 0.758691038703546 0.335366816958413 0 0 1
0.5 0.5 0 0.5 0.670271111419424 0.441161349415779 1 0 0
0.5 0.5 0 0.5 0.923664827831089 0.785163313616067 1 1 1
0.5 0.5 0 0.5 0.402710292721167 0.901465000584722 0 1 0
0.5 0.5 0 0.5 0.11455223406665 0.886521935230121 0 0 1
0.5 0.5 0 0.5 0.728716624667868 0.0885068962816149 0 0 1
0.5 0.5 0 0.5 0.68733362108469 0.368314761435613 0 0 1
0.5 0.5 0 0.5 0.368516873801127 0.189983204938471 0 0 1
0.5 0.5 0 0.5 0.617170033277944 0.10534353251569 0 0 1
0.5 0.5 0 0.5 0.710852985037491 0.399477774277329 0 0 1
0.5 0.5 0 0.5 0.236283353995532 0.0705375447869301 0 0 1
0.5 0.5 0 0.5 0.20770791429095 0.59639199776575 0 0 1
0.5 0.5 0 0.5 0.667951844166964 0.42313713603653 1 0 0
0.5 0.5 0 0.5 0.151904115686193 0.586320453323424 0 0 1
0.5 0.5 0 0.5 0.775665104622021 0.399008180713281 0 0 1
0.5 0.5 0 0.5 0.418067976599559 0.498120838776231 1 1 1
0.5 0.5 0 0.5 0.0708332981448621 0.516936006955802 0 0 1
0.5 0.5 0 0.5 0.29721093014814 0.84957428346388 0 0 1
0.5 0.5 0 0.5 0.706687480211258 0.375981794670224 0 0 1
0.5 0.5 0 0.5 0.217070810729638 0.99705958366394 0 0 1
0.5 0.5 0 0.5 0.468724832870066 0.653017306234688 1 1 1
0.5 0.5 0 0.5 0.730111542390659 0.948660293594003 1 1 1
0.5 0.5 0 0.5 0.252160663250834 0.441277699777856 0 1 0
0.5 0.5 0 0.5 0.361963451839983 0.064058028627187 0 0 1
0.5 0.5 0 0.5 0.755108407931402 0.714818783802912 1 1 1
0.5 0.5 0 0.5 0.930370936403051 0.347543006530032 0 0 1
0.5 0.5 0 0.5 0.347317389212549 0.619869658257812 0 1 0
0.5 0.5 0 0.5 0.981142262462527 0.309106875909492 0 0 1
0.5 0.5 0 0.5 0.172930359141901 0.881789336912334 0 0 1
0.5 0.5 0 0.5 0.944570711115375 0.69823476485908 1 1 1
0.5 0.5 0 0.5 0.754416801966727 0.0908282999880612 0 0 1
0.5 0.5 0 0.5 0.9988263475243 0.75737191666849 1 1 1
0.5 0.5 0 0.5 0.722456068731844 0.738405343145132 1 1 1
0.5 0.5 0 0.5 0.269463051808998 0.0268411757424474 0 0 1
0.5 0.5 0 0.5 0.300221065524966 0.0814061560668051 0 0 1
0.5 0.5 0 0.5 0.778458307962865 0.772266478743404 1 1 1
0.5 0.5 0 0.5 0.147859544027597 0.249150132061914 0 1 0
0.5 0.5 0 0.5 0.709726657951251 0.983870331663638 1 1 1
0.5 0.5 0 0.5 0.858267881674692 0.805406863568351 1 1 1
0.5 0.5 0 0.5 0.823845467995852 0.553736095316708 1 0 0
0.5 0.5 0 0.5 0.927834413247183 0.910451749805361 1 1 1
0.5 0.5 0 0.5 0.0697735883295536 0.0373737392947078 0 0 1
0.5 0.5 0 0.5 0.319802288664505 0.665689512388781 0 1 0
0.5 0.5 0 0.5 0.323585296748206 0.0602991369087249 0 0 1
0.5 0.5 0 0.5 0.414478001184762 0.306420699926093 1 0 0
0.5 0.5 0 0.5 0.804388838354498 0.18630652804859 0 0 1
0.5 0.5 0 0.5 0.224972540745512 0.0653165264520794 0 0 1
0.5 0.5 0 0.5 0.46123482240364 0.984633126296103 0 1 0
0.5 0.5 0 0.5 0.126528305700049 0.544767752755433 0 0 1
0.5 0.5 0 0.5 0.40917657664977 0.245877902489156 0 0 1
0.5 0.5 0 0.5 0.72429286269471 0.546690159244463 1 0 0
0.5 0.5 0 0.5 0.342706504510716 0.593147231964394 0 1 0
0.5 0.5 0 0.5 0.156033949926496 0.77089548134245 0 0 1
0.5 0.5 0 0.5 0.617504908936098 0.533416145248339 1 1 1
0.5 0.5 0 0.5 0.336367780342698 0.284703920828179 1 0 0
0.5 0.5 0 0.5 0.147698336746544 0.152866376563907 1 0 0
0.5 0.5 0 0.5 0.0722430688329041 0.740872014546767 0 0 1
0.5 0.5 0 0.5 0.114764552097768 0.319671810837463 0 0 1
0.5 0.5 0 0.5 0.423234969610348 0.384936820482835 1 0 0
0.5 0.5 0 0.5 0.236119941109791 0.639125402318314 0 0 1
0.5 0.5 0 0.5 0.704253900330514 0.872950281249359 1 1 1
0.5 0.5 0 0.5 0.368155546020716 0.454610839486122 1 1 1
0.5 0.5 0 0.5 0.270878965267912 0.137718687066808 0 0 1
0.5 0.5 0 0.5 0.512001760536805 0.0617951219901443 0 0 1
0.5 0.5 0 0.5 0.903442847076803 0.0219604067970067 0 0 1
0.5 0.5 0 0.5 0.139101531589404 0.942007648060098 0 0 1
0.5 0.5 0 0.5 0.0724152801558375 0.153076593996957 0 0 1
0.5 0.5 0 0.5 0.507113588275388 0.307879053987563 0 0 1
0.5 0.5 0 0.5 0.829803055152297 0.947228579316288 1 1 1
0.5 0.5 0 0.5 0.646815564017743 0.114005242474377 0 0 1
0.5 0.5 0 0.5 0.026641434058547 0.607940307818353 0 0 1
0.5 0.5 0 0.5 0.277856113156304 0.554695500060916 0 1 0
0.5 0.5 0 0.5 0.947862594155595 0.794349933275953 1 1 1
0.5 0.5 0 0.5 0.587645631749183 0.225666273618117 0 0 1
0.5 0.5 0 0.5 0.329056768212467 0.392765555996448 1 1 1
0.5 0.5 0 0.5 0.699006682727486 0.0971520293969661 0 0 1
0.5 0.5 0 0.5 0.448278833413497 0.411120851058513 1 0 0
0.5 0.5 0 0.5 0.596137495944276 0.321340074995533 0 0 1
0.5 0.5 0 0.5 0.47565053938888 0.666435468010604 1 1 1
0.5 0.5 0 0.5 0.102230025688186 0.854596744757146 0 0 1
0.5 0.5 0 0.5 0.849356229649857 0.387247772887349 0 0 1
0.5 0.5 0 0.5 0.963207352673635 0.87832113658078 1 1 1
0.5 0.5 0 0.5 0.509973681299016 0.19414914236404 0 0 1
0.5 0.5 0 0.5 0.585189827252179 0.161025402834639 0 0 1
0.5 0.5 0 0.5 0.352551920106634 0.88981527951546 0 1 0
0.5 0.5 0 0.5 0.932660611113533 0.814545805333182 1 1 1
0.5 0.5 0 0.5 0.29993971507065 0.405758673325181 1 1 1
0.5 0.5 0 0.5 0.611816483084112 0.906783657614142 1 1 1
0.5 0.5 0 0.5 0.716038218466565 0.318756997585297 0 0 1
0.5 0.5 0 0.5 0.860249107703567 0.890246533788741 1 1 1
0.5 0.5 0 0.5 0.12664772500284 0.99491263134405 0 0 1
0.5 0.5 0 0.5 0.810109528945759 0.423877739114687 0 0 1
0.5 0.5 0 0.5 0.655616272706538 0.209952172124758 0 0 1
0.5 0.5 0 0.5 0.809373198775575 0.842830608831719 1 1 1
0.5 0.5 0 0.5 0.5034905357752 0.423051650868729 1 0 0
0.5 0.5 0 0.5 0.428332483861595 0.912423312198371 0 1 0
0.5 0.5 0 0.5 0.887195727322251 0.38219005218707 0 0 1
0.5 0.5 0 0.5 0.182418500538915 0.798750712070614 0 0 1
0.5 0.5 0 0.5 0.950584087055176 0.749235037248582 1 1 1
0.5 0.5 0 0.5 0.707559978822246 0.509418712928891 1 0 0
0.5 0.5 0 0.5 0.891848330153152 0.184580711647868 0 0 1
0.5 0.5 0 0.5 0.604717175476253 0.318105411250144 0 0 1
0.5 0.5 0 0.5 0.695967596489936 0.954499437240884 1 1 1
0.5 0.5 0 0.5 0.535477195866406 0.509553483920172 1 1 1
0.5 0.5 0 0.5 0.948411480989307 0.808689854107797 1 1 1
0.5 0.5 0 0.5 0.976116785779595 0.109873545123264 0 0 1
0.5 0.5 0 0.5 0.283061140449718 0.0399492839351296 0 0 1
