"hf" "hm" "C" "r" "sf" "sm" "Poly" "eigPoly" "agree"
0.5 0.5 0 0.5 0.200356333749369 0.701245707226917 1 1 1
0.5 0.5 0 0.5 0.957098601618782 0.407592547358945 1 1 1
0.5 0.5 0 0.5 0.388284265296534 0.246281933505088 1 1 1
0.5 0.5 0 0.5 0.210932185407728 0.469744907459244 1 1 1
0.5 0.5 0 0.5 0.62890512123704 0.396818503271788 1 1 1
0.5 0.5 0 0.5 0.433282583486289 0.474588959710672 1 1 1
0.5 0.5 0 0.5 0.763733874773607 0.83329024259001 1 1 1
0.5 0.5 0 0.5 0.758347345748916 0.548433226300403 1 1 1
0.5 0.5 0 0.5 0.227792496560141 0.131824797717854 1 1 1
0.5 0.5 0 0.5 0.401983695570379 0.548647103831172 1 1 1
0.5 0.5 0 0.5 0.668588392203674 0.206078989198431 1 1 1
0.5 0.5 0 0.5 0.202126967487857 0.251015068730339 1 1 1
0.5 0.5 0 0.5 0.595890958094969 0.557276111096144 1 1 1
0.5 0.5 0 0.5 0.35155515326187 0.276054284069687 1 1 1
0.5 0.5 0 0.5 0.161144957877696 0.0482334296684712 0 0 1
0.5 0.5 0 0.5 0.849630102980882 0.64682450494729 1 1 1
0.5 0.5 0 0.5 0.39634129893966 0.539739922853187 1 1 1
0.5 0.5 0 0.5 0.649509105365723 0.165573455160484 0 0 1
0.5 0.5 0 0.5 0.38524245750159 0.981820638524368 1 1 1
0.5 0.5 0 0.5 0.855111700715497 0.682441697688773 1 1 1
0.5 0.5 0 0.5 0.148477034876123 0.7049593643751 0 0 1
0.5 0.5 0 0.5 0.806953789200634 0.660951295634732 1 1 1
0.5 0.5 0 0.5 0.972525828517973 0.807501570088789 1 1 1
0.5 0.5 0 0.5 0.339272307232022 0.888919415185228 1 1 1
0.5 0.5 0 0.5 0.246223715133965 0.896679454948753 1 1 1
0.5 0.5 0 0.5 0.275603427551687 0.217147041112185 1 1 1
0.5 0.5 0 0.5 0.919866284355521 0.892495020758361 1 1 1
0.5 0.5 0 0.5 0.162724154535681 0.383533927612007 1 1 1
0.5 0.5 0 0.5 0.691796441329643 0.911589287919924 1 1 1
0.5 0.5 0 0.5 0.58006966416724 0.689435178181157 1 1 1
